comment_id,用戶名稱,留言內容,留言時間
335,Sato Masake,Chirs Yi,對，不會就問而已，幹嘛還打窗戶
336,鄭凱文,有考慮烙人去當兵嗎,38週
337,Dinah Chou,你適合演角頭,38週
338,班傑明,哈哈再秋啊 一副屌樣死好,38週
339,Kay Yu,一直看到你就很不討喜,果然是眼光正確
340,謝曜丞,313入伍，直接關禁閉,38週
341,陳季葦,垃圾人，逃兵還教唆打人，有種自己動手,38週
342,蔡明哲,垃圾淦,38週
343,馬郁雯,超級無敵的敗類人渣超級無敵的垃圾,逃兵就算了現在居然教唆動手毆打無辜的司機你他媽的超級沒有良心的人渣超級的沒有良心良心被狗給啃的人渣不喜歡開車的司機那就自己去開啊為什麼要毆打無辜的司機真的是沒有良心的人渣別人的爸爸就不是人嗎？？動手毆打人就算了居然一句道歉的話都沒有的欸你還是人嗎你王大陸？？你連人都不配當啦我們台灣有你這種卑劣的人渣垃圾真的是我們全台灣的不幸
344,韓德怡,我路過，看戲而已,38週
345,陳德龍,你是想把人打到脊髓損傷吧,38週
346,花小花,沒出息,38週
347,Kangkitty,我會笑死,38週
348,詹文豪,滾回中國吧？,38週
349,邱子龍,王x你在囂張啊操你媽的,38週
350,Jonathan Lin,不要擔心,監獄裡有滿滿的更生人就業輔導平台
351,呂侑璁,可以拍,監獄風雲4-我的監獄時代
352,王震勳,進去牢裡反省吧！,38週
353,Sixten Lu,逃兵又殺人,你可以快去自殺嗎
354,Rtope Ko,Sixten Lu,加油 王大陸，你沒錯
355,Wes Lin,Sixten Lu,還放高利貸
356,柯小宇,記得先抓他驗尿,38週
357,王曉粒,好爛喔～就是黑道嘛！,38週
358,Yun Yun,靠爸族很屌是吧，確實很屌！,乖乖進去蹲吧，教唆殺人犯
359,陳佳冠,王大陸,的母親是北港香爐
360,Fang Hsuan Ken,Makiyo好歹自己動手 啊你這麼沒種還要靠一臉,的朋友揍人
361,楊明山,垃圾人！,38週
362,Red Awi,疑似有黑幫背景,請問你哪裡的 哪間公司報出來讓大家知道一下
363,尤數何,打人的廢物,38週
364,Ming Hao Dong,黃子敬,38週
365,趙瑋,烙人打感覺好俗辣Makiyo都自己打,38週
366,Su LiKai,趙瑋,那個破麻是用踹的
367,Nicole Chan-Ly,夯質藝人 你的人生玩完,38週
368,何小馬,唉 大陸阿大陸 你早放棄台灣國籍就不會發生這種事情了,38週
369,陳貞,我看你是不擇手段也要逃兵了，也是，這垃圾國軍誰想去啊,38週
370,David Wu,4個月兵不當，我他媽當一年都沒叫了你還花錢弄假病例，你可不可恥丟不丟臉？,38週
371,Sam Wang,還不敢跟司機單挑還要叫人幫你打 是娘炮嗎？,38週
372,林威誠,王大陸 (X),王八蛋 (O)
373,Yeh Hank,看來只能滾去中國吧，可能連中國都不要，亡大陸!,38週
374,吳龍,幹破你娘肏俗仔，狗幹豬母生的雜種,38週
375,陳翰,好長中指喔,38週
376,陳翰,https://www.facebook.com/share/r/154ujL64oA/?mibextid=wwXIfr,38週
377,Wei Tsou,這下真的不用進軍營當兵了,38週
378,怪怪先生,刑期五年以上就可以不用當兵了!,38週
379,陳德龍,物以類聚 你朋友素質點點,38週
380,Sixten Lu,Wes Lin,它真的死有餘辜
381,黃子敬,這我只能說入戲太深,38週
382,Yuanci Liu,不想入役 原來是想入獄啊,嘿 真是個人才~不會開特斯拉車門 不會從車底狗洞鑽出去？
383,頭號粉絲,Junonli Hwang,王大陸想吃大便，是嗎？要臉不要臉看不下去了，你每次都這樣囂張，不管…給社會交代道歉了！否則你給我立即馬上辭職都要退出演藝圈吧！
384,許智翔,垃圾藝人,38週
385,沈顥雅,你不開心就想打別人 根本跟殺人犯沒兩樣,38週
386,Edison Du,給你們殺人犯&逃兵滿滿的大平台,38週
387,Jubbei Samuro,特斯拉的門都不會開 是低能兒嗎,38週
388,Chirs Yi,Jubbei Samuro,有這麼惡劣的低能兒嗎？
389,陳文彥,垃圾咖小 出來輸贏啊？ 兩顆,保證讓你笑不出來
390,施邁爾,王大陸出沒，運將請注意,38週
391,宥琨王,王大陸，完蛋嚕～,38週
392,Ninika Ninika,沒水準,38週
393,辛華特,你帥嗎？,老實說
394,方林,靠老爸有錢了不起，屁股洗干淨，等著吃勞飯吧！,38週
395,徐源鈞,ㄟㄟ，羅傑說你是2486，KYO告敢,38週
396,Kinji Ku,"看來你被父母保護的很好，""基本""做人處事都不會",像極了大陸高官囂張的做人處事，
397,劉富森,有夠假，先把人打到半身不遂再去關心嗎？笑死人,38週
398,Happy Wang,沒水準,38週
399,歐源,垃圾！囂張三小？看來你也可以滾去大陸發展了！,38週
400,劉富森,先去服刑，關完之後軍中學長再照顧你一次，社會敗類,38週
401,徐星星,為什麼要比中指,38週
402,何安權,進去裡面趕快被操，被桶，出來趕快滾出台灣。,38週
403,Yu Zu,就叫他潑屎王吧,38週
404,段臣風,進去裡面會被好好招待的，安心享用大餐,38週
405,Shawn Shawn,快滾吧,38週
406,曾安妮,38週,讚
407,Chang Zhuehong,鄭業憲,洪敏魁
408,何鈺雯,你也是沒誰了,38週
409,黃竣佑,菜逼八不敢當兵還整天耍流氓,38週
410,Chih Tseng,有錢真好,38週
411,Himian Hsiao,中國大陸,38週
412,雷帝,王八蛋，看你這次還能不能蹦跳，說了還很囂張打人，,繼續阿，
413,許哲偉,花 百萬逃兵 還閃不過 然後連車門也不會開 這咖小 倒底活在世界上浪費糧食做啥 真有夠廢的 不如改名叫 王廢物,38週
414,楊艾瑞,大陸超棒，四年前就先推廣脊髓損傷的資源，預言自己四年後會教唆把別人打得再嚴重一點就能用四年前自己愛心推廣的資源呢~,38週
415,Jackal Chien,爛貨,38週
416,Benny Lee,過來看留言喔,38週
417,Joseph Chao,進去關一輩子就不用當兵了，挺好的,38週
418,Icac Chut Yi Yut,你企圖謀殺，一定要處以極刑,38週
