comment_id,用戶名稱,留言內容,留言時間
323,陳泰,卡,5週
324,Huah Wu,5週,讚
325,Andy Q Pain,卡,5週
326,羅伯愷,蕭弘凱,來卡位快
327,Nini Fu,實在不敢相信,原本是欣賞你，近期你的醜聞一樁又一樁讓人覺得不勝唏噓⋯⋯
328,林煜倫,置板凳,5週
329,Binson Xin,6殺小 什麼鳥事都有你的名字 太讚了吧09,5週
330,Wan Fei Chen,卡一個！哪一家公關順便說一下，以後要避開,5週
331,羅伯愷,趕快先來卡位置板凳,大家不要問為什麼
332,Sean Hsu,大家一起坐,5週
333,潘柏憲,先來卡位,5週
334,鄧育珊,人氣衝起來 upupup,5週
335,林文雄,陳大毛,不要問為什麼 先卡位
336,林文雄,先卡一下,5週
337,Betty Wang,副業好多喔,5週
338,Tan HuiSin,路过 看热闹的,5週
339,Evon Lin,卡,5週
340,Carol Huang,問題一堆？,5週
341,Lin La Lu,卡,5週
342,Abbie Lin,知名男藝人？要是真的，可以包一包下台一鞠躬了,5週
343,Huang Athena,Abbie Lin,知名？是因為常出事的知名嗎
344,Bruce Chou,我買好爆米花了,5週
345,潘紀瑄,Bruce Chou,還有可樂
346,黄國晉,卡,5週
347,崴澤鄭,卡,5週
348,Gary Chen,我跟鄉民進來看熱鬧的！,5週
349,林佳宏,置板凳,5週
350,Hung Mei Fang,可以加一張嗎,5週
351,蔡豆豆,路過看個熱鬧,5週
352,蔡豆豆,09發限動了 這邊先撤了,5週
353,柏竹,卡位看看Andy老師說的是不是你。^_^,5週
354,謝承諾,5週,讚
355,Lin Cheng Hsien,卡,5週
356,黃偉,原本要準備要復出了 現在又要下去了==,5週
357,許雅芬,黃偉,好心幫鬼靈一家，這下難翻身了
358,九九八一,我開假帳號 來卡位了,5週
359,楊仕逢,所以是你喔？,5週
360,張毛利,先卡位看看是不是副業很多的藝人,5週
361,Jack Pan,拉椅子,5週
362,Liang Gigi,5週,讚
363,Akil Alune,九哥怎麼辦，你好像要被票了誒，快幫自己講話啊九哥,5週
364,洪健鈞,Akil Alune,等等⋯⋯這算是提早露餡了嗎⋯⋯？
365,Chu Wen,路過,5週
366,宋建勳,09 我真的不相信是你！,這跟我印象中，知名藝人的定義差太多了
367,林煒傑,置板凳,5週
368,史特龍,零九加油，不要在意那些罵你的人，就算全世界都與你爲敵不諒解罵你，我也會站在全世界那邊。,5週
369,莊朝富,知名男藝人？我先拖張椅子來,5週
370,Liting Huang,卡,5週
371,陳冠州,游宗翰,沙發爆米花準備好
372,游宗翰,陳冠州,等一審判決出來就知道是誰了
373,黃笙棟,因果冤業,欺人.騙人.害人.貪人.
374,黃笙棟,個人修養不好.謂之過,因過傷害別人.謂之罪
375,YiTing Tu,椅子放這嗎,5週
376,黃笙棟,聖學要義 - 善書圖書館,３４。問：一個人做壞事，「近報妻女，禍遺子孫」，這是為什麼？自己做的孽，應由自己得孽報才算公平啊？
377,黃笙棟,地藏王菩薩：乙丑年八月十五日午時,鬼道的社會是如何形成？
378,黃笙棟,天曹有個大寶鏡.專顯人間善報,地曹有個孽鏡臺.專顯人間惡報
